id;libelle;status;addresspostale;num_faxe;addresse_postal;phone;mobile;site;code;groupe_fournisseur_id
1;Nakfa Usability back-end;ENTRAITEMENT;web services pricing structure;SQL 3rd generation;e-business;(097) 993-6783;implement utilisation;Bedfordshire;hack killer capacitor;1
2;payment Checking Account;ENATTENTE;help-desk Rhode Island;Rustic;firewall Investor Health;1-968-630-9641;Checking Account compelling;orchestrate Integration Engineer;Ergonomic Kids;2
3;Developer;ENTRAITEMENT;Yuan Renminbi;Polarised Home;Tunnel;1-662-502-6941 x35157;Self-enabling;harness Executive;Cotton static;3
4;SQL Avon mission-critical;NON_LIVRE;Shoes;benchmark Mountains;back up Operative technologies;404.363.5154;human-resource;markets Steel;action-items payment Home Loan Account;4
5;payment Producer hard drive;VALIDE;Assistant Licensed Kids;Markets backing up bricks-and-clicks;connecting Bangladesh Liberia;1-448-130-1771;optical instruction set navigating;harness grow Associate;solutions disintermediate invoice;5
6;Licensed implement system engine;SUGGESTION;Yuan Renminbi;Plastic platforms deposit;extend hacking;1-568-031-9974;generate;withdrawal digital;Focused withdrawal pink;6
7;data-warehouse Integration Illinois;PASSE;national Proactive Global;6th generation Car parsing;integrate microchip Gorgeous Frozen Keyboard;897.938.0657;withdrawal Awesome;functionalities best-of-breed FTP;mobile;7
8;engage Ergonomic Steel Table;ENATTENTE;knowledge user;back up port cross-platform;Canyon;448-572-1587 x1049;iterate driver;benchmark maximize Georgia;approach pixel e-tailers;8
9;Oklahoma olive Plain;DESACTIVE;yellow;Fish Berkshire Applications;Portugal Burundi Franc;963-238-7703 x95432;Handcrafted Concrete Mouse mindshare transmit;RAM Handcrafted Associate;invoice;9
10;Uganda Shilling Investment Account;ENATTENTE;Forward matrix attitude;compressing;infrastructures;1-953-632-8249 x12603;Intelligent;multi-state AI utilisation;Belgium;10
