id;libelle;checked;pkey;created_at;updated_at;montant_net;montant_brut;montant_remise;montant_debit;montant_credit;montant_verse;montant_rendu;montant_restant;groupe_mode;categorie;date_mvt;ref;organisme
1;Christmas Island ADP Hat;false;Associate Bedfordshire;2020-05-31T17:09:12;2020-05-30T18:45:32;29345;30034;40003;10269;12652;93654;90046;68658;CREDIT;DEBIT;2020-05-31;indexing Consultant;definition Analyst
2;Integration Rustic Open-source;false;Sleek driver;2020-05-31T08:22:52;2020-05-31T13:02:39;22271;4282;41414;5281;21744;8533;69277;28587;COMPTANT;CREDIT;2020-05-30;visionary JSON;payment strategic
3;withdrawal CSS;true;Auto Loan Account ROI;2020-05-31T13:08:01;2020-05-30T19:03:23;78206;52849;17881;68143;87390;35339;21458;40356;CREDIT;DEBIT;2020-05-31;payment hard drive;Small Plastic Computer
4;Home Loan Account content;true;Factors;2020-05-31T18:05:36;2020-05-31T06:20:33;5650;20703;71869;96717;20169;44378;36640;1849;CREDIT;CREDIT;2020-05-31;compressing;copy Rustic
5;Buckinghamshire Home Loan Account;false;frame Avon card;2020-05-31T10:30:32;2020-05-31T03:06:56;81223;66303;70737;95235;42954;67094;47342;27519;COMPTANT;DEBIT;2020-05-31;Credit Card Account Metal;Steel bluetooth Profound
6;Investment Account;false;Incredible open-source Multi-lateral;2020-05-31T17:47:55;2020-05-31T17:10:46;99972;93435;9625;76064;56143;50464;61699;18267;COMPTANT;CREDIT;2020-05-31;Throughway;Music
7;Sausages Central Web;true;JBOD;2020-05-30T19:44:14;2020-05-31T12:07:08;31018;15341;42960;18595;98406;2190;20896;1197;CREDIT;DEBIT;2020-05-31;Soft Programmable;Berkshire
8;Soft;true;customer loyalty;2020-05-31T00:50:00;2020-05-31T09:49:11;98170;66801;62835;33786;22744;15812;98067;19998;CREDIT;DEBIT;2020-05-31;Future Research;withdrawal Metal
9;Handcrafted;false;withdrawal Outdoors Checking Account;2020-05-31T00:16:14;2020-05-30T19:54:38;25695;72872;99386;34866;78178;86376;33282;16852;CREDIT;CREDIT;2020-05-30;Sausages;United States Minor Outlying Islands 1080p
10;Handcrafted Rubber Mouse;true;Directives;2020-05-31T05:48:00;2020-05-31T08:55:52;29679;38287;44492;24255;2357;66322;60080;51468;COMPTANT;CREDIT;2020-05-31;value-added back-end;cross-platform Washington
