id;menu_name;description;libelle;icon;type
1;Corporate;Bedfordshire strategize Frozen;Principal;Handcrafted Metal Pizza;IMAGE
2;violet;open system leverage;non-volatile;generate program;ICONCLASS
3;Branding;4th generation matrix;definition Ergonomic Practical Granite Keyboard;Berkshire Tuna payment;ICONCLASS
4;Tasty Granite Chair metrics embrace;PCI;Soft Manager Personal Loan Account;ivory Supervisor Arkansas;ICONCLASS
5;Investment Account Computers Tasty Soft Car;XSS Salad programming;Home Loan Account Sleek communities;HTTP;ICONCLASS
6;index;haptic;Cambridgeshire asynchronous incremental;Tactics;ICONCLASS
7;SQL withdrawal input;Profound Bedfordshire;Savings Account;Group;IMAGE
8;Organic;programming compress;throughput Licensed;Nevada;ICONCLASS
9;Awesome;Garden firewall;Metrics;Points Regional;IMAGE
10;dynamic Bacon;magenta Investment Account;Industrial District yellow;Upgradable indexing;ICONCLASS
