id;libelle;code;qty;end_date
1;synergize Freeway Senior;Home Loan Account;85490;2020-05-30
2;multi-byte invoice panel;Pa'anga Peru Music;31600;2020-05-31
3;Computers global multi-tasking;bandwidth-monitored;57476;2020-05-31
4;Wooden Personal Loan Account;yellow PNG Licensed Granite Bike;16694;2020-05-31
5;District maroon;Table interactive action-items;65474;2020-05-31
6;Product Turnpike;Multi-layered Customer frictionless;34732;2020-05-31
7;Central African Republic ivory;solid state;70288;2020-05-30
8;Executive CSS Pizza;Fantastic Rubber Ball SMS;53339;2020-05-31
9;Personal Loan Account;New York;46498;2020-05-31
10;Refined Iowa;Steel Minnesota;286;2020-05-31
