id;libelle;addresspostale;num_faxe;email;tel;status;odre
1;moratorium;SAS compressing Intelligent;multimedia Tools;Warren_Bartell94@yahoo.com;Facilitator Borders;ENTREESTOCT;66682
2;Pines;Ball Internal;incubate override Courts;Korbin_Goyette7@hotmail.com;plug-and-play parse Mall;PERIME;25301
3;feed;Shoes pricing structure deliverables;Beauty standardization;Noemi32@hotmail.com;Home Loan Account Engineer Optimized;ENTREESTOCT;30364
4;target Configuration Zloty;structure Cambridgeshire Ball;mobile withdrawal Central;Sonny_Dietrich64@yahoo.com;Corporate Avon Portugal;ENATTENTE;73466
5;View;application Movies;Shirt deposit invoice;Stanley_McDermott@yahoo.com;Handcrafted Rubber Chair copying;LIVRE;9935
6;Louisiana;moderator;Towels;Betty_Hoppe@hotmail.com;interface niches;SUGGESTION;22355
7;deposit;mobile empowering;Sports parse RAM;Wyatt52@yahoo.com;bypassing;SUPPRIME;43080
8;Ergonomic;holistic;leading edge Beauty;Felicia_Quigley@yahoo.com;benchmark;DESACTIVE;93071
9;end-to-end distributed;strategic;Home Loan Account Senior wireless;Carson.Emard@yahoo.com;Handmade Cotton Pizza next-generation Assurance;VALIDE;1659
10;Paraguay;incubate scale web-readiness;Soap Personal Loan Account Licensed;Barbara47@yahoo.com;Phased;ENATTENTE;88178
